voltage_level[V],width[percent],input[V],output[V],std_input[V],std_output[V]
1.0,20.0,0.17450839112941172,0.1682385219411765,3.544283761930091e-05,3.486165787974679e-05
1.0,30.0,0.3053108588023256,0.2943281982906977,3.861298562517443e-05,3.7427846836303324e-05
1.0,40.0,0.4038728620232558,0.38933788416279075,5.198440566304525e-05,5.101893992299598e-05
1.0,50.0,0.4933139928255814,0.47557135636046505,7.246668022961745e-05,6.22048211041564e-05
1.0,60.0,0.5826572104069768,0.5617283240232559,6.904411271732953e-05,6.47798102771757e-05
1.0,70.0,0.6807452039186047,0.6564059062093023,0.0001324503941541868,0.00011276958082413304
1.0,80.0,0.8099647005000002,0.781517475627907,0.00012886309675692612,9.346371557042371e-05
2.0,20.0,0.3473982011046512,0.33490116618604654,6.755301527100559e-05,6.591511705627019e-05
2.0,30.0,0.6089369252906978,0.5870848665000001,5.161310698419172e-05,4.397432584731853e-05
2.0,40.0,0.805344136616279,0.7770356125813954,9.057062574955755e-05,5.461350082842917e-05
2.0,50.0,0.9825248456046513,0.9496488987209301,0.00023295446703423348,5.8400341725029875e-05
2.0,60.0,1.1641242382558141,1.1221737058139534,0.0005160422677760295,7.464300576629041e-05
2.0,70.0,1.3563419118604654,1.3117093617441862,0.00035375955414606024,7.992919248058239e-05
2.0,80.0,1.6178298724418605,1.5623548034883719,0.0002640837515162915,0.00011065972116464306
3.0,20.0,0.5201813823953488,0.5014730129767442,7.571387266146459e-05,7.58957246149867e-05
3.0,30.0,0.9110721451976742,0.8799738024302326,0.00018492838020432202,5.104725264518644e-05
3.0,40.0,1.2033979591860464,1.1650648736046512,0.00041190953272034615,6.215180910723501e-05
3.0,50.0,1.4737822917441863,1.4239977311627907,0.00015949217296518458,5.7818529343083284e-05
3.0,60.0,1.7432292656976742,1.6828773170930236,0.00022218577358731767,0.0001346078480210651
3.0,70.0,2.038700553488371,1.9672851501162791,0.0001690730113113628,8.030909457406312e-05
3.0,80.0,2.4290612037209303,2.3433448420930234,0.00018044371998117585,0.00012731769081965642
4.0,20.0,0.6929228971976743,0.6681675715697675,9.936566889693808e-05,9.452132495197075e-05
4.0,30.0,1.2112755901162793,1.1727528101162787,0.0004590998654054902,7.698533473349661e-05
4.0,40.0,1.6080256549999996,1.5529280626744184,0.00022709182709702857,8.324789195988959e-05
4.0,50.0,1.9668909423255816,1.898188608604651,0.00018673092620923734,7.554453434245027e-05
4.0,60.0,2.325297174883721,2.243358951627907,0.00013714788502964016,9.020932599160737e-05
4.0,70.0,2.718875844302326,2.6225931846511625,0.00014708704566063796,9.916475015815416e-05
4.0,80.0,3.239214804069767,3.1241034961627907,0.00016071078024179454,0.0001248028677404843
5.0,20.0,0.8647310517558139,0.8348172808604651,0.00014596957203639872,7.018900428129543e-05
5.0,30.0,1.5170784254651162,1.4655656190697677,0.0002035816100321713,7.665974752695022e-05
5.0,40.0,2.0110973490697672,1.9407761919767441,0.00021596441431041353,8.81013409479187e-05
5.0,50.0,2.4592513675581396,2.3724529879069762,0.00020101648114000218,0.0001366322142373458
5.0,60.0,2.9069246246511633,2.803875171744186,0.00017061307172399067,0.0001042154658378782
5.0,70.0,3.3990415229069764,3.2781420958139535,0.00018085943940358466,0.00014324212736973585
5.0,80.0,4.049313716395349,3.904937913139535,0.00019622318902711659,0.0001512175770211528
6.0,20.0,1.0387266560465116,1.0013612774418605,0.0006163821141131749,0.00012079903308529651
6.0,30.0,1.8215785804651163,1.7582553669767442,0.00015599526402150897,6.90852738581437e-05
6.0,40.0,2.4136035838372094,2.328470316395349,0.00018083069866909972,9.588155614966929e-05
6.0,50.0,2.9511240908139538,2.846449337441861,0.00019155350386387043,0.00013446795311585448
6.0,60.0,3.4883440417441856,3.36423774244186,0.0001823857766980081,0.00012182012697585837
6.0,70.0,4.078483415813954,3.9330627973255816,0.0001632401798624303,0.00010627482255624887
6.0,80.0,4.859058084418604,4.685426914069768,0.00015537218336780605,0.0001478384687406024
7.0,20.0,1.2048154481395348,1.1676590736046513,0.01316566171143474,0.00022646871014455456
7.0,30.0,2.1254515956976747,2.050808250697674,0.00014971341628213408,0.00012506239834189956
7.0,40.0,2.815903065232558,2.71614960372093,0.00024079697771365246,0.0001745316874349913
7.0,50.0,3.4429801339534887,3.3204861794186042,0.00015964909666368166,0.0001033681941633967
7.0,60.0,4.069659856744186,3.9245056745348834,0.00019137360305940065,0.00013881218599836258
7.0,70.0,4.758215826976744,4.5882466463953495,0.00016727890375928768,0.00011746294166225954
7.0,80.0,5.668495476279069,5.4657344322093016,0.00028487376355144825,0.00024600884053357534
8.0,20.0,1.3798482518604651,1.3341241941860464,0.0003364620909552915,0.00015466310877773422
8.0,30.0,2.4291793940697675,2.3434249634883715,0.00013280248924017992,0.00011725854310136403
8.0,40.0,3.218031965930233,3.1036460482558144,0.0001722814388924924,0.00012403530376391223
8.0,50.0,3.934437525232559,3.7941858406976747,0.00019585479968845047,0.00013878182218302602
8.0,60.0,4.650586786976744,4.484490068139535,0.00019431520089198783,0.0001615198003659285
8.0,70.0,5.4372637284883725,5.242786770813952,0.00020194146891899982,0.00017805131572261318
8.0,80.0,6.478053276279069,6.246084603953486,0.00028605324106099726,0.00025810435466443546
9.0,20.0,1.5531921053488371,1.500253991744186,0.00030419349515428175,0.00016948094816093964
9.0,30.0,2.7325180943023253,2.6356956623255816,0.00016462033533147229,0.0001321447812324732
9.0,40.0,3.6197352286046502,3.4907991076744187,0.00017823026687471865,0.00014238046966624053
9.0,50.0,4.425735927441861,4.267671441976744,0.00019308625453488712,0.00017863234597992835
9.0,60.0,5.2312249595348845,5.0441154120930225,0.00022793147383212554,0.00021343365497631078
9.0,70.0,6.11632104372093,5.897314638604651,0.00014978978101777592,0.00012582920270670685
9.0,80.0,7.287041629534884,7.025956396976745,0.0002880304032819122,0.0002765217697084057
10.0,20.0,1.726555841976744,1.6668426090697674,0.0003167995932452588,0.00023714751750010743
10.0,30.0,3.036167644186046,2.928356705930233,0.00024079228221388798,0.00015555104553827416
10.0,40.0,4.021910175232558,3.878444176627907,0.00021934936871714563,0.00014614789071167012
10.0,50.0,4.917375586395348,4.741573227441859,0.00018855156627552283,0.00014313629467404057
10.0,60.0,5.812310387906977,5.604208087093023,0.00017881762977596202,0.00020011224253032317
10.0,70.0,6.7957499351162785,6.552255428604653,0.00018885159579766226,0.0002018053780239938
10.0,80.0,8.09641116232558,7.806087856860466,0.0002528433246689969,0.0002867378685443676
11.0,20.0,1.8993128652325575,1.833069244883721,0.0003345264012875582,0.00024234368168116554
11.0,30.0,3.3395894983720917,3.220743150000001,0.0002111249988119497,0.00013764928436556245
11.0,40.0,4.423886411046512,4.265806932790697,0.000204095225063973,0.0001937820062254444
11.0,50.0,5.408774935348839,5.2151835611627915,0.00015616838935435362,0.0001122446937702572
11.0,60.0,6.3930260426744185,6.163981599651162,0.0001940177057752368,0.0001681075013564004
11.0,70.0,7.474655419883723,7.20663135127907,0.0001526609819413259,0.00016624715274548437
11.0,80.0,8.90499405255814,8.585450272209302,0.0003193298025259171,0.0003466066827826323
12.0,20.0,2.07225977,1.9994589181395355,0.0002357752474201726,0.0002149216510856755
12.0,30.0,3.6431033338372107,3.5132015623255812,0.00021031375805660873,0.00016099858915476022
12.0,40.0,4.825964499418604,4.653299874186048,0.00022449549619819837,0.0001675611345950042
12.0,50.0,5.900298162790698,5.688894845697675,0.0001824323599244888,0.00014250055788925616
12.0,60.0,6.973805854883721,6.7236854240697665,0.0002486459605804486,0.0002477733323598213
12.0,70.0,8.153854858139535,7.861234352790699,0.0001802315940766036,0.00021870306308679514
12.0,80.0,9.71455111744186,9.365677126976744,0.0003376813709008829,0.00029416072791813524
13.0,20.0,2.2449186155813954,2.1657230039534885,0.00027233425794353106,0.00025968379092527604
13.0,30.0,3.946186957093022,3.8052122929069783,0.00016076867162644832,0.00013684699437996434
13.0,40.0,5.227604236976744,5.040339384186046,0.00022372215748666792,0.00019918406191144514
13.0,50.0,6.391066859418604,6.161856894069767,0.00016444633081429686,0.0001584021442673506
13.0,60.0,7.554168333255816,7.283030908837209,0.000306180839370663,0.0002848791136399839
13.0,70.0,8.832577259534883,8.515313672093022,0.00015693204585689294,0.00019222726192154205
13.0,80.0,10.524560755813953,10.144688793023256,0.00031136398457764255,0.00036297067568484824
14.0,20.0,2.417814934651163,2.3323233017441862,0.00030745991950449517,0.0002622787021513394
14.0,30.0,4.249677290116279,4.097633127558139,0.00019870852156292436,0.00021220619714883406
14.0,40.0,5.629621490581396,5.427747794186046,0.0003207786533986284,0.00028291383414200236
14.0,50.0,6.882586490697674,6.635524597093023,0.00013145250033842434,0.00013470905542054375
14.0,60.0,8.134804926976743,7.842617060930233,0.00024349410046967026,0.0002449782515180274
14.0,70.0,9.51128616395349,9.16949820127907,0.00016903864648004516,0.0002113929629368457
14.0,80.0,11.333815220930234,10.92447601860465,0.00033482678820679463,0.00044789474751097554
15.0,20.0,2.590314598837209,2.498367118953488,0.000457285371207552,0.0003877926653058722
15.0,30.0,4.553271468953488,4.390144345232557,0.00023090177017178604,0.0001853085687528129
15.0,40.0,6.031434506279069,5.81488677139535,0.0003000549323352608,0.00027384050058051543
15.0,50.0,7.373659169418603,7.108660301627906,0.00020414635212703838,0.0002308456112022118
15.0,60.0,8.715261339302327,8.401878120813953,0.0002453047965410611,0.0002777238239932373
15.0,70.0,10.081659929069769,9.821938228604651,0.00016482605960071016,0.00020930360910055812
15.0,80.0,12.012337789534882,11.702163353488373,0.000532814984623752,0.0004879907364521959
16.0,20.0,2.762960532558139,2.6646126822093024,0.00029548277042865687,0.0002297220367185473
16.0,30.0,4.856581895348837,4.6822840906976735,0.0002312240104639328,0.0002354458689996972
16.0,40.0,6.433132673720931,6.201875313139535,0.0002638352185475749,0.00026249522839845777
16.0,50.0,7.864630004302326,7.581653899534886,0.00016517411769624343,0.00021856750977336406
16.0,60.0,9.295338251511629,8.960697397906976,0.0002646867185912338,0.00027557384849813274
16.0,70.0,10.87030216744186,10.477148234883721,0.00017568666970251947,0.0002845354188894459
16.0,80.0,12.809785639534885,12.480870126744186,0.000356266570037471,0.00035181390006286005
17.0,20.0,2.9352920216279066,2.830656949883721,0.0004643330580667109,0.0004404751631709746
17.0,30.0,5.159683325348837,4.974339366046511,0.0002848463755105358,0.00028238645156568364
17.0,40.0,6.8342978643023224,6.5884556219767445,0.00028940588278437084,0.00026793184864740046
17.0,50.0,8.355215345348837,8.054442965465114,0.00016486420633333304,0.00015920537859112003
17.0,60.0,9.87546998976744,9.519831424418605,0.00027670568993504527,0.0003156488885988161
17.0,70.0,11.548640213953488,11.130682240697674,0.00023832486218098065,0.0003358294953646207
17.0,80.0,13.597506989534887,13.259352648837211,0.0013766573151332152,0.0005472514045132053
18.0,20.0,3.1075593920930236,2.9965105953488376,0.00044011035649508656,0.00039260329623978156
18.0,30.0,5.462755059651162,5.266336480116279,0.00023617319670135754,0.00018487499751818474
18.0,40.0,7.235856608255812,6.975344948837209,0.0002874908552082294,0.00029214156070619246
18.0,50.0,8.846070085,8.527402849069768,0.00018968876428368818,0.00022982045402319425
18.0,60.0,10.45598714883721,10.078796812790698,0.012128472836701093,0.0004331772469716919
18.0,70.0,12.095192256976745,11.78242815,0.00023428504685721324,0.00027719479536369366
18.0,80.0,14.384303454651164,14.037717604651162,0.0025416090097160234,0.0007894735620975298
19.0,20.0,3.2797081369767453,3.162362175232558,0.0004895680990845308,0.00041277637095742413
19.0,30.0,5.7656476862790695,5.558157290813953,0.00029233635038154385,0.0002895846933446499
19.0,40.0,7.637573285813953,7.362485460465115,0.00036588854828224874,0.00033905406296839697
19.0,50.0,9.337168004651163,9.000703698488373,0.00017787899533560129,0.0002504817240795692
19.0,60.0,11.037754789534883,10.638214277906977,0.0003336906722696471,0.0003744526787895531
19.0,70.0,12.764918877906975,12.436313765116282,0.0004094395030401477,0.0004795014929003535
19.0,80.0,15.170429972093025,14.816443626744185,0.004209429412935665,0.0005554351881913983
20.0,20.0,3.4527925426744175,3.3290412460465117,0.0004067033344855624,0.00043903606792283724
20.0,30.0,6.069139344883721,5.850550085,0.0003481146705679213,0.00037164877844437025
20.0,40.0,8.039330595697674,7.749559461860464,0.0004273962763810905,0.00042583781663027293
20.0,50.0,9.82788493360465,9.473490452674419,0.00018174589016389995,0.00025236592520276065
20.0,60.0,11.617467309302326,11.196612997674418,0.0003247445282632164,0.00040209572568003813
20.0,70.0,13.425761010465116,13.089186609302324,0.001059146677068323,0.0003724053559053977
20.0,80.0,15.95555999651163,15.594610795348839,0.005868389046041069,0.0005833140400275531
21.0,20.0,3.625565196627908,3.495480614767443,0.0006269788374270668,0.0005895696036902794
21.0,30.0,6.372549458488373,6.142724380116279,0.0002752515907126137,0.00026084289222161767
21.0,40.0,8.440743977093025,8.136137826162788,0.00030204279554530637,0.000307973040928642
21.0,50.0,10.20866866860465,9.944415293953488,0.00017203135489042253,0.00022461102297937317
21.0,60.0,12.066054153488373,11.753243247674419,0.0004388362897783092,0.0004700183590249155
21.0,70.0,14.085202669767448,13.741679939534881,0.0021941775046332877,0.0004108625252779563
21.0,80.0,16.745051123255813,16.37429021046512,0.0072140541668409735,0.0007906931744376637
22.0,20.0,3.798395859883721,3.6618602822093016,0.0004555533771300061,0.0004058821121532197
22.0,30.0,6.675609221860465,6.434729743720931,0.0003343120755013197,0.000281069872078128
22.0,40.0,8.84170927244186,8.522399693720931,0.0004166006003237325,0.0004455031061354809
22.0,50.0,10.810518791860465,10.418299311627905,0.00014188820275005883,0.00024803193678508094
22.0,60.0,12.638770453488371,12.311177108139534,0.0004107186837848598,0.0004720970227245216
22.0,70.0,14.74524502093023,14.394974667441858,0.003430584471295109,0.0003494382780991321
22.0,80.0,17.53462777209302,17.151657618604652,0.009453839560670136,0.0011808268098186725
23.0,20.0,3.9707208498837208,3.827841915581395,0.0005141154797807557,0.00046264528802018694
23.0,30.0,6.97839147023256,6.726335433953488,0.00034915669325460627,0.00032027271213619233
23.0,40.0,9.243121230000003,8.909075229186046,0.00037341004144833746,0.0003593857398185523
23.0,50.0,11.300941511627908,10.890678349999998,0.0002113267024882917,0.0002955715185018398
23.0,60.0,13.205297363953486,12.870131793023257,0.000783140108677803,0.0003934801245588002
23.0,70.0,15.406454530232558,15.04799669186046,0.004225358609512975,0.000634012048463681
23.0,80.0,18.333869539534884,17.9289479127907,0.012286954875758566,0.0006083564822107505
24.0,20.0,4.142632552093023,3.9933556561627905,0.0004424226498255051,0.0004408912262349922
24.0,30.0,7.281643120581396,7.018316562325583,0.00037249455292426336,0.00040169171420833665
24.0,40.0,9.644270784302325,9.295418427906979,0.0004376244135242158,0.0004516512293090486
24.0,50.0,11.79191058255814,11.363473644186046,0.00019897619581668826,0.000254942325546429
24.0,60.0,13.769333719767445,13.428018433720927,0.001680095169567947,0.0005199004266817175
24.0,70.0,16.065132430232556,15.699783686046516,0.005616176450234482,0.0005714712559828993
24.0,80.0,19.131055536046514,18.705570175581393,0.013467958356579173,0.0008522926660406687
25.0,20.0,4.314721258023256,4.158730539651163,0.0006924245185478285,0.0006616715992497505
25.0,30.0,7.584500464418606,7.309703431860466,0.0003293136288075209,0.0003002450614054511
25.0,40.0,10.04560976395349,9.681488091744187,0.0003860906956936169,0.00037014732037512934
25.0,50.0,12.149611037209302,11.832959740697675,0.00026675299466762895,0.000310563697035763
25.0,60.0,14.332814017441862,13.984904926744184,0.002684746876751096,0.0004515543091050391
25.0,70.0,16.723782033720934,16.350901272093022,0.006810123663719677,0.0004617365898918899
25.0,80.0,19.935167890697674,19.48269161860465,0.011743988183001333,0.0012786165447450169
